Time,OldRTT_ns,NewRTT_ns,Detection
2.03007,30072586,30072586,NoWormhole
2.10389,30072586,3892826,WormholeDetected
2.20318,24836634,3183552,WormholeDetected
2.30416,20506018,4163491,WormholeDetected
2.40868,17237513,8680371,WormholeDetected
2.50438,15526085,4382555,WormholeDetected
2.60454,13297379,4543663,WormholeDetected
2.70442,11546636,4423605,WormholeDetected
2.80604,10122030,6041609,WormholeDetected
2.90725,9305946,7249396,WormholeDetected
3.00981,8894636,9810322,NoWormhole
3.10843,9077773,8432336,NoWormhole
3.20472,8948686,4723118,WormholeDetected
3.30403,8103572,4033447,WormholeDetected
3.40409,7289547,4093682,WormholeDetected
3.50286,6650374,2863597,WormholeDetected
3.60336,5893019,3363386,WormholeDetected
3.70355,5387092,3552282,NoWormhole
3.8075,5020130,7501557,WormholeDetected
3.90499,5516415,4992414,NoWormhole
4.0057,5411615,5701933,NoWormhole
4.10702,5469679,7022294,NoWormhole
4.20748,5780202,7482074,NoWormhole
4.30296,6120576,2963759,WormholeDetected
4.40444,5489213,4443144,NoWormhole
4.50517,5279999,5172621,NoWormhole
4.60383,5258523,3832846,NoWormhole
4.70379,4973388,3792850,NoWormhole
4.80771,4737280,7712232,WormholeDetected
4.90576,5332270,5762454,NoWormhole
5.00949,5418307,9492047,WormholeDetected
5.10806,6233055,8056262,NoWormhole
5.20334,6597696,3343802,WormholeDetected
5.30511,5946917,5113328,NoWormhole
5.40667,5780199,6672557,NoWormhole
5.5045,5958671,4503180,NoWormhole
5.60588,5667573,5882921,NoWormhole
5.70261,5710643,2614356,WormholeDetected
5.80623,5091386,6229135,NoWormhole
5.9058,5318936,5802523,NoWormhole
6.00239,5415653,2394366,WormholeDetected
6.10645,4811396,6452702,NoWormhole
6.20372,5139657,3723989,NoWormhole
6.30461,4856523,4611125,NoWormhole
6.40551,4807443,5512240,NoWormhole
6.5073,4948402,7301200,WormholeDetected
6.60643,5418962,6433292,NoWormhole
6.70702,5621828,7021164,NoWormhole
6.8064,5901695,6398170,NoWormhole
6.90712,6000990,7122609,NoWormhole
7.00393,6225314,3933045,WormholeDetected
7.1075,5766860,7502125,NoWormhole
7.20373,6113913,3733440,WormholeDetected
7.3056,5637818,5602592,NoWormhole
7.40653,5630773,6532141,NoWormhole
7.5045,5811047,4503696,NoWormhole
7.60597,5549577,5971435,NoWormhole
7.70573,5633949,5733935,NoWormhole
7.8034,5653946,3403967,WormholeDetected
7.90326,5203950,3263462,NoWormhole
8.00484,4815852,4842715,NoWormhole
8.10312,4821225,3124341,NoWormhole
8.20569,4481848,5690874,NoWormhole
8.30556,4723653,5559320,NoWormhole
8.40425,4890786,4253091,NoWormhole
8.5076,4763247,7600391,WormholeDetected
8.60639,5330676,6391985,NoWormhole
8.70414,5542938,4140213,NoWormhole
8.80485,5262393,4852378,NoWormhole
8.90742,5180390,7421663,WormholeDetected
9.00354,5628645,3543806,WormholeDetected
9.10625,5211677,6247642,NoWormhole
9.20548,5418870,5481896,NoWormhole
9.30949,5431475,9491628,WormholeDetected
9.40717,6243506,7169173,NoWormhole
9.50655,6428639,6552697,NoWormhole
9.60353,6453451,3533663,WormholeDetected
9.7052,5869493,5200651,NoWormhole
9.80231,5735725,2314508,WormholeDetected
9.90898,5051482,8980607,WormholeDetected
10.0068,5837307,6789928,NoWormhole
10.1076,6027831,7561809,NoWormhole
10.2065,6334627,6512281,NoWormhole
10.3064,6370158,6429100,NoWormhole
10.4105,6381946,10481506,WormholeDetected
10.5062,7201858,6209290,NoWormhole
10.608,7003344,8039483,NoWormhole
10.7072,7210572,7222414,NoWormhole
10.8035,7212940,3473869,WormholeDetected
10.9079,6465126,7930997,NoWormhole
11.0076,6758300,7589469,NoWormhole
11.1073,6924534,7290167,NoWormhole
11.2044,6997661,4383436,WormholeDetected
11.3038,6474816,3773630,WormholeDetected
11.409,5934579,9001473,WormholeDetected
11.506,6547958,6002821,NoWormhole
11.6032,6438931,3243961,WormholeDetected
11.705,5799937,4999649,NoWormhole
11.8064,5639879,6432382,NoWormhole
11.9029,5798380,2934588,WormholeDetected
12.0096,5225622,9592081,WormholeDetected
12.1043,6098914,4343128,NoWormhole
12.2063,5747757,6260090,NoWormhole
12.3058,5850224,5791002,NoWormhole
12.4059,5838380,5882816,NoWormhole
12.5067,5847267,6652546,NoWormhole
12.6063,6008323,6333196,NoWormhole
12.7075,6073298,7483108,NoWormhole
12.8092,6355260,9170807,WormholeDetected
12.9044,6918369,4424182,WormholeDetected
13.0079,6419532,7857791,NoWormhole
13.1088,6707184,8836784,WormholeDetected
13.2074,7133104,7362341,NoWormhole
13.3073,7178951,7341648,NoWormhole
13.404,7211490,3970627,WormholeDetected
13.5085,6563317,8458064,NoWormhole
13.608,6942266,7969599,NoWormhole
13.7074,7147733,7422751,NoWormhole
13.8058,7202737,5790515,NoWormhole
13.9082,6920293,8229554,NoWormhole
14.003,7182145,3043807,WormholeDetected
14.1026,6354477,2594105,WormholeDetected
14.2031,5602403,3103804,WormholeDetected
14.3038,5102683,3834000,NoWormhole
14.4034,4848946,3404033,NoWormhole
14.5095,4559963,9478610,WormholeDetected
14.6051,5543692,5073927,NoWormhole
14.7074,5449739,7442956,NoWormhole
14.8026,5848382,2574133,WormholeDetected
14.904,5193532,3994566,NoWormhole
15.0044,4953739,4403325,NoWormhole
15.1037,4843656,3654282,NoWormhole
15.2068,4605781,6792994,WormholeDetected
15.3077,5043224,7731260,WormholeDetected
15.4025,5580831,2494158,WormholeDetected
15.5041,4963496,4063718,NoWormhole
15.6055,4783540,5452624,NoWormhole
15.7031,4917357,3144288,NoWormhole
15.8073,4562743,7322019,WormholeDetected
15.9051,5114598,5095039,NoWormhole
16.0076,5110686,7586988,WormholeDetected
16.1075,5605946,7502253,NoWormhole
16.2083,5985207,8299445,WormholeDetected
16.3069,6448055,6900070,NoWormhole
16.4032,6538458,3184316,WormholeDetected
16.5072,5867630,7224168,NoWormhole
16.6086,6138938,8588973,WormholeDetected
16.7028,6628945,2834208,WormholeDetected
16.8021,5869998,2134212,WormholeDetected
16.906,5122841,6031268,NoWormhole
17.0049,5304526,4864240,NoWormhole
17.1062,5216469,6164225,NoWormhole
