NetType,Scenario,VaryingParamName,ParamValue,Throughput,Delay,PDR,DropRatio,Energy
wired,attack,Coverage,1.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,attack,Coverage,2.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,attack,Coverage,3.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,attack,Coverage,4.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,attack,Coverage,5.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,attack,Flows,10.000000,1.815059,2417.310581,42.410607,57.047904,0.000000
wired,attack,Flows,15.000000,1.829081,3516.073386,28.504350,70.853801,0.000000
wired,attack,Flows,20.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,attack,Flows,25.000000,1.842517,5588.019246,17.242998,82.041285,0.000000
wired,attack,Flows,30.000000,0.167492,5215.003729,1.306769,124.230220,0.000000
wired,attack,Flows,35.000000,0.140510,5072.459326,0.940053,118.859592,0.000000
wired,attack,Flows,40.000000,0.123816,4892.346331,0.725129,115.740137,0.000000
wired,attack,Flows,45.000000,0.119496,4854.824582,0.622337,113.501692,0.000000
wired,attack,Flows,50.000000,0.114919,4834.040323,0.538884,110.802060,0.000000
wired,attack,Nodes,100.000000,1.669790,5000.317731,19.524829,79.779110,0.000000
wired,attack,Nodes,10.000000,1.995437,2216.385098,23.332620,76.402397,0.000000
wired,attack,Nodes,15.000000,1.929759,3228.326835,22.564640,76.963185,0.000000
wired,attack,Nodes,20.000000,1.526424,4300.456427,17.848459,81.552654,0.000000
wired,attack,Nodes,25.000000,1.032004,4520.740189,12.067209,86.164812,0.000000
wired,attack,Nodes,30.000000,0.783201,4964.526431,9.157962,90.059503,0.000000
wired,attack,Nodes,35.000000,1.249505,4738.493587,14.610445,86.398116,0.000000
wired,attack,Nodes,40.000000,0.251915,4837.348198,2.945634,100.389127,0.000000
wired,attack,Nodes,45.000000,0.356656,4837.086732,4.170377,102.601884,0.000000
wired,attack,Nodes,50.000000,1.870597,4478.212173,21.872860,77.443493,0.000000
wired,attack,Nodes,5.000000,1.998220,1210.611484,23.365154,76.576627,0.000000
wired,attack,Nodes,55.000000,1.858003,4523.699096,21.725599,77.588613,0.000000
wired,attack,Nodes,60.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,attack,Nodes,65.000000,1.816340,4618.172673,21.238442,78.077055,0.000000
wired,attack,Nodes,70.000000,1.795326,4671.809733,20.992723,78.317209,0.000000
wired,attack,Nodes,75.000000,1.774348,4721.987737,20.747432,78.566353,0.000000
wired,attack,Nodes,80.000000,1.753371,4777.577580,20.502140,78.812928,0.000000
wired,attack,Nodes,85.000000,1.732576,4830.037332,20.258990,79.048373,0.000000
wired,attack,Nodes,90.000000,1.711855,4883.003036,20.016695,79.288955,0.000000
wired,attack,Nodes,95.000000,1.690841,4940.872396,19.770976,79.537671,0.000000
wired,attack,PPS,100.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,attack,PPS,150.000000,1.836952,4640.773314,14.319226,85.219885,0.000000
wired,attack,PPS,200.000000,1.837208,4769.797147,10.740765,88.905441,0.000000
wired,attack,PPS,250.000000,1.837172,4938.478278,8.592367,91.110731,0.000000
wired,attack,PPS,300.000000,1.836988,5139.755480,7.159347,92.551579,0.000000
wired,attack,PPS,350.000000,1.836952,5387.732303,6.136611,93.509937,0.000000
